Squad,Entity,Scorecard,Rule,Level,Status,Description,Failure Message,Last Evaluated
Aqua,ankipan-scheduler,Production Observable and Resilient,Components must follow custom metric naming conventions,Baseline,Fail,"Components must follow custom metric naming conventions, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/metric_naming_convention_rule.py)
",2026-06-24T11:26:22.005299
Aqua,carhire-indic-pricing-project,Customer Data Stays Protected,Projects must have no CFRipper selected issues across all stacks,Baseline,Fail,"Projects must not have critical CFRipper issues related to backup tags, security groups, and project tags across any of their CloudFormation stacks, as per [customer-data-stays-protected/cloudformation-scanning](https://production-standards.skyscannerpage.com/standards/customer-data-stays-protected/cloudformation-scanning/).","Please remediate the following CFRipper issues across all CloudFormation stacks in this project, which are considered particularly important by the Security team:
- BackupTagMissingInCriticalDataStoreRule
- CriticalTagMissingInOperationalDataStoreRule
- EC2SecurityGroupOpenToWorldRule
- ProjectTagInSelfServeRule
- ProjectTagPresentRule
- RestoreInCriticalDataStoreNonCompliantRule

You can view the specific findings in the [custom data section](https://skyscanner.atlassian.net/wiki/spaces/SEC/pages/172832635/CFRipper+FAQ#Where-can-I-see-my-stack-issues-in-Cortex%3F).

If you believe an exception is required, please submit a request in #security-support with the [necessary information](https://skyscanner.atlassian.net/wiki/spaces/SEC/pages/172832635/CFRipper+FAQ#How-can-I-get-an-exception-for-my-stack%3F).

More details about CFRipper can be found [here](https://skyscanner.atlassian.net/wiki/spaces/SEC/pages/172832623/CFRipper).",2026-06-24T13:50:53.598454
Aqua,indicative-carhire,Production Observable and Resilient,Components must follow custom metric naming conventions,Baseline,Fail,"Components must follow custom metric naming conventions, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/metric_naming_convention_rule.py)
",2026-06-24T11:12:40.16743
Aqua,indicative-carhire,Production Observable and Resilient,Components must limit short-duration internal spans,Baseline,Fail,"Components must limit short-duration internal spans, as per [production-observable-and-resilient/tracing/02-usage](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/tracing/02-usage).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/short_spans_rule.py)
",2026-06-24T11:12:40.16743
Aqua,indicative-carhire,Technology Stays Current,Services must set maxRequestHeaderSize to 32KiB in production Dropwizard config,Baseline,Fail,"Microservices must explicitly set `maxRequestHeaderSize: 32KiB` in
`prod.yml` or equivalent production Dropwizard config, as per
[technology-stays-current/http-request-header-size](https://production-standards.skyscannerpage.com/standards/technology-stays-current/http-request-header-size/).","Set `maxRequestHeaderSize: 32KiB` in every production Dropwizard config
file. If this service is (a) gRPC only and does not serve HTTP traffic, or (b) Not a Java service, please
request an exemption stating this as the reason.

{{^context.evaluation.captures.productionConfigFiles}}
No production Dropwizard config files matching `prod.yml`, `production.yml`, `prod-*.yml`, or `production-*.yml` were found.
{{/context.evaluation.captures.productionConfigFiles}}
{{#context.evaluation.captures.missingHeaderSizeFiles}}
The following production Dropwizard config files are missing `maxRequestHeaderSize: 32KiB`:
- `{{relativePath}}`
{{/context.evaluation.captures.missingHeaderSizeFiles}}",2026-06-24T16:05:36.908678
Aqua,indicative-package,Production Observable and Resilient,Components must follow custom metric naming conventions,Baseline,Fail,"Components must follow custom metric naming conventions, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/metric_naming_convention_rule.py)
",2026-06-24T11:29:36.861787
Aqua,indicative-package,Technology Stays Current,Services must set maxRequestHeaderSize to 32KiB in production Dropwizard config,Baseline,Fail,"Microservices must explicitly set `maxRequestHeaderSize: 32KiB` in
`prod.yml` or equivalent production Dropwizard config, as per
[technology-stays-current/http-request-header-size](https://production-standards.skyscannerpage.com/standards/technology-stays-current/http-request-header-size/).","Set `maxRequestHeaderSize: 32KiB` in every production Dropwizard config
file. If this service is (a) gRPC only and does not serve HTTP traffic, or (b) Not a Java service, please
request an exemption stating this as the reason.

{{^context.evaluation.captures.productionConfigFiles}}
No production Dropwizard config files matching `prod.yml`, `production.yml`, `prod-*.yml`, or `production-*.yml` were found.
{{/context.evaluation.captures.productionConfigFiles}}
{{#context.evaluation.captures.missingHeaderSizeFiles}}
The following production Dropwizard config files are missing `maxRequestHeaderSize: 32KiB`:
- `{{relativePath}}`
{{/context.evaluation.captures.missingHeaderSizeFiles}}",2026-06-24T16:12:13.662334
Aqua,indicative-prices-svc,Changes Ship Reliably,Services must be deployed via Slingshot to shared cluster,Baseline,Fail,"Services must be deployed via Slingshot to shared Kubernetes clusters (Cells), not to standalone EC2, self-managed ECS, or external services, as per [changes-ship-reliably/services-deployed-to-shared-cluster](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/services-deployed-to-shared-cluster/).","Your service is not deployed via Slingshot to a shared Kubernetes cluster (Cells). Services must be deployed via Slingshot to Cells, not to standalone EC2, self-managed ECS, or external infrastructure. See the [services-deployed-to-shared-cluster](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/services-deployed-to-shared-cluster/) standard.",2026-06-24T14:24:27.449154
Aqua,indicative-prices-svc,Technology Stays Current,Services must set maxRequestHeaderSize to 32KiB in production Dropwizard config,Baseline,Fail,"Microservices must explicitly set `maxRequestHeaderSize: 32KiB` in
`prod.yml` or equivalent production Dropwizard config, as per
[technology-stays-current/http-request-header-size](https://production-standards.skyscannerpage.com/standards/technology-stays-current/http-request-header-size/).","Set `maxRequestHeaderSize: 32KiB` in every production Dropwizard config
file. If this service is (a) gRPC only and does not serve HTTP traffic, or (b) Not a Java service, please
request an exemption stating this as the reason.

{{^context.evaluation.captures.productionConfigFiles}}
No production Dropwizard config files matching `prod.yml`, `production.yml`, `prod-*.yml`, or `production-*.yml` were found.
{{/context.evaluation.captures.productionConfigFiles}}
{{#context.evaluation.captures.missingHeaderSizeFiles}}
The following production Dropwizard config files are missing `maxRequestHeaderSize: 32KiB`:
- `{{relativePath}}`
{{/context.evaluation.captures.missingHeaderSizeFiles}}",2026-06-24T16:03:23.052592
Aqua,pam-hotel-list,Technology Stays Current,Services must set maxRequestHeaderSize to 32KiB in production Dropwizard config,Baseline,Fail,"Microservices must explicitly set `maxRequestHeaderSize: 32KiB` in
`prod.yml` or equivalent production Dropwizard config, as per
[technology-stays-current/http-request-header-size](https://production-standards.skyscannerpage.com/standards/technology-stays-current/http-request-header-size/).","Set `maxRequestHeaderSize: 32KiB` in every production Dropwizard config
file. If this service is (a) gRPC only and does not serve HTTP traffic, or (b) Not a Java service, please
request an exemption stating this as the reason.

{{^context.evaluation.captures.productionConfigFiles}}
No production Dropwizard config files matching `prod.yml`, `production.yml`, `prod-*.yml`, or `production-*.yml` were found.
{{/context.evaluation.captures.productionConfigFiles}}
{{#context.evaluation.captures.missingHeaderSizeFiles}}
The following production Dropwizard config files are missing `maxRequestHeaderSize: 32KiB`:
- `{{relativePath}}`
{{/context.evaluation.captures.missingHeaderSizeFiles}}",2026-06-24T17:45:44.182696
